timestamps,VbINP_IVPresent_flg,VeAGSM_ConftPathValid_enum,VeINP_IVClass,VfAGSM_1ConftPathLength_m,VfAGSM_1ConftPathTypC3_co,VfAGSM_2ConftPathLength_m,VfAGSM_2ConftPathTypC3_co,VfAGSM_3ConftPathLength_m,VfAGSM_3ConftPathTypC3_co,VfAGSM_ConftPathTypC0_m,VfAGSM_ConftPathTypC1_rad,VfAGSM_ConftPathTypC2_co,VfAGSM_LHLaneMkr0C0_m,VfAGSM_LHLaneMkr0C1_rad,VfAGSM_LHLaneMkr0C2_co,VfAGSM_LHLaneMkr0C3_co,VfAGSM_LHLaneMkr0EdRange_m,VfAGSM_LHLaneMkr0StRange_m,VfAGSM_LHLaneMkr1C0_m,VfAGSM_LHLaneMkr1C1_rad,VfAGSM_LHLaneMkr1C2_co,VfAGSM_LHLaneMkr1C3_co,VfAGSM_LHLaneMkr1EdRange_m,VfAGSM_LHLaneMkr1StRange_m,VfAGSM_VehicleSpd_mps,VfINP_IVAcc_mpss,VfINP_IVHeading_rad,VfINP_IVLaDis_m,VfINP_IVLaSpd_mps,VfINP_IVLgDis_m,VfINP_IVV_mps
2.112349217,0,1,0,25.71235657,-1.38E-06,40,-6.68E-07,51.52589798,0,-0.13873364,0.008180315,-7.75E-06,-1.460968614,-0.008399963,2.77E-05,9.81E-07,57.23999023,0,0,0,0,0,-200,-200,0,0,0,0.005,0,198.5,0
2.13921262,0,1,0,25.71235657,-1.38E-06,40,-6.68E-07,51.52409744,0,-0.138737321,0.008180311,-7.76E-06,-1.460968614,-0.008399963,2.77E-05,9.81E-07,57.23999023,0,0,0,0,0,-200,-200,0,0,0,0.005,0,198.5,0
2.167166283,0,1,0,25.71235657,-1.38E-06,40,-6.68E-07,51.52229691,0,-0.138739616,0.008180114,-7.77E-06,-1.460968614,-0.008399963,2.77E-05,9.81E-07,57.23999023,0,0,0,0,0,-200,-200,0,0,0,0.005,0,198.5,0
2.201391441,0,1,0,25.71235657,-1.37E-06,40,-6.70E-07,50.98139191,0,-0.13811852,0.008256816,-7.79E-06,-1.460977793,-0.00855732,2.77E-05,9.80E-07,54.25,0,0,0,0,0,-200,-200,0,0,0,0.005,0,198.5,0
2.227100569,0,1,0,25.71235657,-1.37E-06,40,-6.70E-07,50.71139526,0,-0.138297498,0.008276655,-7.79E-06,-1.460977793,-0.00855732,2.77E-05,9.80E-07,54.25,0,0,0,0,0,-200,-200,0,0,0,0.005,0,198.5,0
2.254942205,0,1,0,25.71235657,-1.36E-06,40,-6.69E-07,50.44139481,0,-0.138419986,0.008289981,-7.80E-06,-1.460977793,-0.00855732,2.77E-05,9.80E-07,54.25,0,0,0,0,0,-200,-200,0,0,0,0.005,0,198.5,0
2.288032093,0,1,0,25.71235657,-1.36E-06,40,-6.70E-07,50.42699432,0,-0.138626501,0.008291462,-7.81E-06,-1.460991979,-0.00853157,2.77E-05,9.80E-07,57.08999634,0,0,0,0,0,-200,-200,0,0,0,0.005,0,198.5,0
2.312882016,0,1,0,25.71235657,-1.37E-06,40,-6.70E-07,50.41259003,0,-0.138649151,0.008293054,-7.82E-06,-1.460991979,-0.00853157,2.77E-05,9.80E-07,57.08999634,0,0,0,0,0,-200,-200,0,0,0,0.005,0,198.5,0
2.34205497,0,1,0,25.71235657,-1.37E-06,40,-6.70E-07,50.39908981,0,-0.138655171,0.008294559,-7.83E-06,-1.460991979,-0.00853157,2.77E-05,9.80E-07,57.08999634,0,0,0,0,0,-200,-200,0,0,0,0.005,0,198.5,0
2.366783864,0,1,0,25.71235657,-1.37E-06,40,-6.71E-07,50.3855896,0,-0.138659626,0.008295938,-7.84E-06,-1.460991979,-0.00853157,2.77E-05,9.80E-07,57.08999634,0,0,0,0,0,-200,-200,0,0,0,0.005,0,198.5,0
2.402850461,0,1,0,25.71235657,-1.37E-06,40,-6.71E-07,50.3576889,0,-0.139310658,0.008262388,-7.86E-06,-1.460955381,-0.008406639,2.77E-05,9.79E-07,57.07998657,0,0,0,0,0,-200,-200,0,0,0,0.005,0,198.5,0
2.431072188,0,1,0,25.71235657,-1.38E-06,40,-6.72E-07,50.61238861,0,-0.139182344,0.008239914,-7.86E-06,-1.460955381,-0.008406639,2.77E-05,9.79E-07,57.07998657,0,0,0,0,0,-200,-200,0,0,0,0.005,0,198.5,0
2.458569743,0,1,0,25.71235657,-1.38E-06,40,-6.72E-07,50.86708832,0,-0.139047131,0.008225007,-7.87E-06,-1.460955381,-0.008406639,2.77E-05,9.79E-07,57.07998657,0,0,0,0,0,-200,-200,0,0,0,0.005,0,198.5,0
2.48973117,0,1,0,25.71235657,-1.38E-06,40,-6.72E-07,51.12178421,0,-0.138954595,0.008214938,-7.88E-06,-1.460955381,-0.008406639,2.77E-05,9.79E-07,57.07998657,0,0,0,0,0,-200,-200,0,0,0,0.005,0,198.5,0
2.515875402,0,1,0,25.71235657,-1.36E-06,40,-6.70E-07,51.38459015,0,-0.137217432,0.008305313,-7.89E-06,-1.461000204,-0.008738518,2.77E-05,9.78E-07,57.17001343,0,0,0,0,0,-200,-200,0,0,0,0.005,0,198.5,0
2.551591916,0,1,0,25.71235657,-1.35E-06,40,-6.70E-07,51.3917923,0,-0.137546271,0.008363344,-7.90E-06,-1.461000204,-0.008738518,2.77E-05,9.78E-07,57.17001343,0,0,0,0,0,-200,-200,0,0,0,0.005,0,198.5,0
2.576550865,0,1,0,25.71235657,-1.35E-06,40,-6.70E-07,51.39899445,0,-0.137891442,0.008401912,-7.91E-06,-1.461000204,-0.008738518,2.77E-05,9.78E-07,57.17001343,0,0,0,0,0,-200,-200,0,0,0,0.005,0,198.5,0
2.602462041,0,1,0,25.71235657,-1.35E-06,40,-6.71E-07,51.41339874,0,-0.138283521,0.00844636,-7.93E-06,-1.461000204,-0.008738518,2.77E-05,9.78E-07,57.17001343,0,0,0,0,0,-200,-200,0,0,0,0.005,0,198.5,0
2.63064976,0,1,0,25.71235657,-1.36E-06,40,-6.72E-07,51.41879272,0,-0.139580041,0.008391064,-7.93E-06,-1.460952044,-0.008504868,2.77E-05,9.78E-07,57.1499939,0,0,0,0,0,-200,-200,0,0,0,0.005,0,198.5,0
2.660294826,0,1,0,25.71235657,-1.37E-06,40,-6.73E-07,51.42509842,0,-0.13939327,0.008356462,-7.94E-06,-1.460952044,-0.008504868,2.77E-05,9.78E-07,57.1499939,0,0,0,0,0,-200,-200,0,0,0,0.005,0,198.5,0
2.691263208,0,1,0,25.71235657,-1.37E-06,40,-6.73E-07,51.43139648,0,-0.139181122,0.008334147,-7.95E-06,-1.460952044,-0.008504868,2.77E-05,9.78E-07,57.1499939,0,0,0,0,0,-200,-200,0,0,0,0.005,0,198.5,0
2.717091364,0,1,0,25.71235657,-1.37E-06,40,-6.73E-07,51.43770218,0,-0.139037132,0.008319543,-7.96E-06,-1.460952044,-0.008504868,2.77E-05,9.78E-07,57.1499939,0,0,0,0,0,-200,-200,0,0,0,0.005,0,198.5,0
2.745051029,0,1,0,25.71235657,-1.38E-06,40,-6.69E-07,51.17580032,0,-0.139909923,0.008254567,-7.97E-06,-1.460891724,-0.008319855,2.77E-05,9.79E-07,54.16999817,0,0,0,0,0,-200,-200,0,0,0,0.005,0,198.5,0
2.772177495,0,1,0,25.71235657,-1.38E-06,40,-6.68E-07,50.90579987,0,-0.139645278,0.008212015,-7.97E-06,-1.460891724,-0.008319855,2.77E-05,9.79E-07,54.16999817,0,0,0,0,0,-200,-200,0,0,0,0.005,0,198.5,0
2.803946067,0,1,0,25.71235657,-1.39E-06,40,-6.67E-07,50.36579514,0,-0.13922371,0.008163677,-7.99E-06,-1.460891724,-0.008319855,2.77E-05,9.79E-07,54.16999817,0,0,0,0,0,-200,-200,0,0,0,0.005,0,198.5,0
2.833886204,0,1,0,25.71235657,-1.39E-06,40,-6.66E-07,50.09579468,0,-0.139108285,0.008149832,-8.00E-06,-1.460891724,-0.008319855,2.77E-05,9.79E-07,54.16999817,0,0,0,0,0,-200,-200,0,0,0,0.005,0,198.5,0
